"id","name","model","brand","slug","product_id"
"655ae57268e0956b97a4fdeb","corrugated box","D32","Flipkart","flipkart-corrugated-box-d32","D32"
"655ae57268e0956b97a4fdec","corrugated box","D33","Flipkart","flipkart-corrugated-box-d33","D33"
"655ae57268e0956b97a4fde9","corrugated box","D30","Flipkart","flipkart-corrugated-box-d30","F31"
"655ae57268e0956b97a4fdea","corrugated box","D31","Flipkart","flipkart-corrugated-box-d31","D31"
"655ae57268e0956b97a4fde4","corrugated box","D25","Flipkart","flipkart-corrugated-box-d25","D25"
"655ae57268e0956b97a4fddf","corrugated box","D20","Flipkart","flipkart-corrugated-box-d20","D20"
"655ae57268e0956b97a4fdde","corrugated box","D19","Flipkart","flipkart-corrugated-box-d19","D19"
"655ae57268e0956b97a4fded","corrugated box","D34","Flipkart","flipkart-corrugated-box-d34","D34"
"655ae57268e0956b97a4fde0","corrugated box","D21","Flipkart","flipkart-corrugated-box-d21","D21"
"655ae57268e0956b97a4fde3","corrugated box","D24","Flipkart","flipkart-corrugated-box-d24","D24"
"655ae57268e0956b97a4fde2","corrugated box","D23","Flipkart","flipkart-corrugated-box-d23","D23"
